Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 8758.08it/s]
[ours] loaded 324 steer tensors; prefix_write=True; cfg=PrefixSteerConfig(num_prefix_tokens=64, sliding_window_size=256, mem_num_heads=8, mem_head_dim=64, steer_mode='deltamem', normal_attends_prefix=True, prefix_sees_query=True, prefix_init_std=0.7, prefix_init_dist='normal', prefix_write=True, read_prefix_only=False, memory_mode='dynamic', write_ctx_only=True, prefix_write_layout='global', prefix_write_overlap_tokens=0, pool_reads=True, pool_gate=False, pool_gate_input='rm', pool_gate_max=2.0, pool_gate_bias=0.0, steer_layers=(), prefix_layers=(), steer_gain=0.1, share_qkv=False, memory_value_source='trainable', delta_heads='qkvo', delta_rank=0, read_proj_dim=0, output_fusion='fixed', o_fusion_position='pre_o', output_fusion_eps=1e-06, output_fusion_scale_max=10.0, fusion_lambda_init=0.1, fusion_lambda_max=1.0, fusion_ema_momentum=0.99, history_pool_mode='none', hybrid_read_mode='none', hybrid_prefix_gate_mode='fixed', hybrid_prefix_gate_init=0.1)
Using the latest cached version of the dataset since hotpotqa/hotpot_qa couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'distractor' at /home/mingze/.cache/huggingface/datasets/hotpotqa___hotpot_qa/distractor/0.0.0/1908d6afbbead072334abe2965f91bd2709910ab (last modified on Wed Aug 12 07:46:01 2026).
[shard 0] 3703 examples
[shard 0] 1340/3703 baseF1=0.570 oursF1=0.660 (17.1m)
[shard 0] 1360/3703 baseF1=0.567 oursF1=0.661 (17.4m)
[shard 0] 1380/3703 baseF1=0.569 oursF1=0.663 (17.7m)
[shard 0] 1400/3703 baseF1=0.570 oursF1=0.665 (17.9m)
[shard 0] 1420/3703 baseF1=0.571 oursF1=0.667 (18.1m)
[shard 0] 1440/3703 baseF1=0.574 oursF1=0.669 (18.4m)
[shard 0] 1460/3703 baseF1=0.574 oursF1=0.668 (18.6m)
[shard 0] 1480/3703 baseF1=0.575 oursF1=0.670 (18.9m)
[shard 0] 1500/3703 baseF1=0.573 oursF1=0.669 (19.2m)
[shard 0] 1520/3703 baseF1=0.572 oursF1=0.668 (19.5m)
[shard 0] 1540/3703 baseF1=0.572 oursF1=0.667 (19.8m)
[shard 0] 1560/3703 baseF1=0.573 oursF1=0.668 (19.9m)
[shard 0] 1580/3703 baseF1=0.572 oursF1=0.670 (20.2m)
[shard 0] 1600/3703 baseF1=0.572 oursF1=0.670 (20.5m)
[shard 0] 1620/3703 baseF1=0.572 oursF1=0.670 (20.8m)
[shard 0] 1640/3703 baseF1=0.573 oursF1=0.671 (21.0m)
[shard 0] 1660/3703 baseF1=0.572 oursF1=0.670 (21.3m)
[shard 0] 1680/3703 baseF1=0.572 oursF1=0.669 (21.5m)
[shard 0] 1700/3703 baseF1=0.571 oursF1=0.668 (21.8m)
[shard 0] 1720/3703 baseF1=0.570 oursF1=0.668 (22.0m)
[shard 0] 1740/3703 baseF1=0.570 oursF1=0.670 (22.2m)
[shard 0] 1760/3703 baseF1=0.570 oursF1=0.669 (22.5m)
[shard 0] 1780/3703 baseF1=0.569 oursF1=0.668 (22.7m)
