tag	host	gpu	pid	start_utc	end_utc	secs	rc	status	artifact	log	cmd
diffv2_s2	lux-2-node-16	5	1123647	2026-08-17T16:46:05Z	2026-08-17T18:04:54Z	4729	143	FAILED(rc=143)	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s2.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s2.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s2 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 2 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s1	lux-2-node-16	4	1123640	2026-08-17T16:46:05Z	2026-08-17T18:04:54Z	4729	143	FAILED(rc=143)	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s1.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s1.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s1 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 1 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s1	lux-2-node-16	4	1123640		2026-08-17T18:05:06Z			KILLED(freed for user peng)			
diffv2_s2	lux-2-node-16	5	1123647		2026-08-17T18:05:06Z			KILLED(freed for user peng)			
van_s0	lux-2-node-16	0	1123642	2026-08-17T16:46:05Z	2026-08-17T18:54:14Z	7689	0	DONE(rc=0) nll=3.6113	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s0.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 0 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
van_s1	lux-2-node-16	1	1123639	2026-08-17T16:46:05Z	2026-08-17T18:54:18Z	7693	0	DONE(rc=0) nll=3.6056	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s1.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s1.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s1 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 1 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
van_s2	lux-2-node-16	2	1123637	2026-08-17T16:46:05Z	2026-08-17T18:54:31Z	7706	0	DONE(rc=0) nll=3.6012	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s2.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/van_s2.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag van_s2 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla --seed 2 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s2	lux-2-node-16	1	1660584	2026-08-17T19:07:29Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s2.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s2.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s2 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 2 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s1	lux-2-node-16	0	1660586	2026-08-17T19:07:29Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s1.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s1.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s1 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 1 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
diffv2_s0	lux-2-node-16	3	1123638	2026-08-17T16:46:05Z	2026-08-17T19:11:58Z	8753	0	DONE(rc=0) nll=3.6045	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/diffv2_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/diffv2_s0.log	/work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag diffv2_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm native_diffv2 --seed 0 --batch-size 2 --grad-accum 16 --total-tokens 800000000 --t0-tokens 600000000 --log-every 50 --eval-every 400
vanilla_continue_s0	lux-2-node-16	2	1670450	2026-08-17T19:12:30Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/vanilla_continue_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/vanilla_continue_s0.log	CUDA_VISIBLE_DEVICES=2 /work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag vanilla_continue_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla_continue --seed 0 --init-from /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0_T0.pt --init-sha256 7cce788e0caf1337e5ec9f9484e225d3675cb35e467f1fe84d9ef241f1de6c1a --batch-size 1 --grad-accum 32 --continue-tokens 200000000 --log-every 50 --eval-every 500
lowrank_s0	lux-2-node-16	3	1670451	2026-08-17T19:12:30Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/lowrank_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/lowrank_s0.log	CUDA_VISIBLE_DEVICES=3 /work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag lowrank_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm lowrank --seed 0 --init-from /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0_T0.pt --init-sha256 7cce788e0caf1337e5ec9f9484e225d3675cb35e467f1fe84d9ef241f1de6c1a --batch-size 1 --grad-accum 32 --continue-tokens 200000000 --log-every 50 --eval-every 500 --rank 96
lowrank_s0	lux-2-node-16	3	1670451	2026-08-17T19:12:30Z	2026-08-17T19:47:01Z	2071	0	DONE(rc=0) nll=3.6785	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/lowrank_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/lowrank_s0.log	CUDA_VISIBLE_DEVICES=3 /work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag lowrank_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm lowrank --seed 0 --init-from /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0_T0.pt --init-sha256 7cce788e0caf1337e5ec9f9484e225d3675cb35e467f1fe84d9ef241f1de6c1a --batch-size 1 --grad-accum 32 --continue-tokens 200000000 --log-every 50 --eval-every 500 --rank 96
additive_s0	lux-2-node-16	3	1935315	2026-08-17T19:47:01Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/additive_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/additive_s0.log	CUDA_VISIBLE_DEVICES=3 /work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag additive_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm additive --seed 0 --init-from /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0_T0.pt --init-sha256 7cce788e0caf1337e5ec9f9484e225d3675cb35e467f1fe84d9ef241f1de6c1a --batch-size 1 --grad-accum 32 --continue-tokens 200000000 --log-every 50 --eval-every 500 --read-dim 64 --window 256
vanilla_continue_s0	lux-2-node-16	2	1670450	2026-08-17T19:12:30Z	2026-08-17T19:48:21Z	2151	0	DONE(rc=0) nll=3.6096	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/vanilla_continue_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/vanilla_continue_s0.log	CUDA_VISIBLE_DEVICES=2 /work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag vanilla_continue_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm vanilla_continue --seed 0 --init-from /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0_T0.pt --init-sha256 7cce788e0caf1337e5ec9f9484e225d3675cb35e467f1fe84d9ef241f1de6c1a --batch-size 1 --grad-accum 32 --continue-tokens 200000000 --log-every 50 --eval-every 500
localreader_s0	lux-2-node-16	2	1937030	2026-08-17T19:48:21Z				RUNNING	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/localreader_s0.json	/work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/logs/localreader_s0.log	CUDA_VISIBLE_DEVICES=2 /work/mingze/miniconda3/envs/deltamem/bin/python /work/mingze/Posthoc_differential_memory_diffsplit/scripts/cpt_train.py --tag localreader_s0 --data-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --out-dir /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817 --arm localreader --seed 0 --init-from /work/mingze/Posthoc_differential_memory_diffsplit/out_cpt_20260817/van_s0_T0.pt --init-sha256 7cce788e0caf1337e5ec9f9484e225d3675cb35e467f1fe84d9ef241f1de6c1a --batch-size 1 --grad-accum 32 --continue-tokens 200000000 --log-every 50 --eval-every 500 --read-dim 64 --window 256
